freq,velocity,force
86.5,-6.87002e-05,0.00551119
87.0,-7.30767e-05,0.00580178
87.5,-7.36852e-05,0.0060908
88.0,-6.97294e-05,0.00648121
88.5,-5.79007e-05,0.00681302
89.0,-6.08749e-05,0.00716444
89.5,-6.16982e-05,0.0075498
90.0,-6.03917e-05,0.00789359
90.5,-5.18461e-05,0.00831105
91.0,-5.39379e-05,0.00871556
91.5,-4.58583e-05,0.00909621
92.0,-4.62877e-05,0.00949432
92.5,-3.47004e-05,0.00996755
93.0,-3.66294e-05,0.010395
93.5,-3.64228e-05,0.010843
94.0,-2.44886e-05,0.0113567
94.5,-2.15398e-05,0.0117314
95.0,-2.68739e-05,0.0122846
95.5,4.21358e-06,0.0128705
96.0,1.17428e-05,0.0133926
96.5,-1.36228e-05,0.0139324
97.0,7.31364e-06,0.0145191
97.5,1.17116e-05,0.0151368
98.0,1.11833e-05,0.0157172
98.5,6.24971e-06,0.0163895
99.0,-4.5564e-07,0.0171099
99.5,2.03043e-05,0.0177547
100.0,2.35558e-05,0.0186561
100.5,3.77736e-06,0.0194001
101.0,3.53114e-06,0.0202078
101.5,4.14854e-05,0.0209619
102.0,9.53501e-05,0.0219466
102.5,9.11949e-05,0.0229674
103.0,0.000109872,0.0240084
103.5,0.000123758,0.0249833
104.0,0.000132935,0.026131
104.5,0.000172696,0.0272556
105.0,0.000229206,0.0285517
105.5,0.000279733,0.0301226
106.0,0.000258648,0.0315434
106.5,0.000324062,0.0329182
107.0,0.000360957,0.0344266
107.5,0.000432937,0.036551
108.0,0.000526762,0.0384673
108.5,0.000587943,0.0402124
109.0,0.000686578,0.042907
109.5,0.000778946,0.0455225
110.0,0.00084983,0.0476885
110.5,0.000921944,0.0509925
111.0,0.00108978,0.0542645
111.5,0.00140331,0.0580499
112.0,0.00160045,0.0620919
112.5,0.00191523,0.0666955
113.0,0.00217536,0.0714542
113.5,0.00249905,0.0779427
114.0,0.00292345,0.0849637
114.5,0.00365143,0.0931348
115.0,0.00459977,0.103193
115.5,0.00552391,0.116726
116.0,0.00658524,0.128758
116.5,0.00876138,0.145861
117.0,0.012581,0.171062
117.5,0.0178196,0.203252
118.0,0.0281356,0.247468
118.5,0.0489706,0.31989
119.0,0.0945252,0.438353
119.5,0.265746,0.643631
120.0,0.751739,0.54032
120.5,0.491585,-0.725627
121.0,0.194482,-0.57006
121.5,0.0942327,-0.409487
122.0,0.0477655,-0.303403
122.5,0.0314831,-0.254372
123.0,0.0235732,-0.215402
123.5,0.0155358,-0.180474
124.0,0.011492,-0.157417
124.5,0.00943016,-0.14101
125.0,0.00834035,-0.127847
125.5,0.00698472,-0.115475
126.0,0.00588585,-0.106937
126.5,0.00486151,-0.100006
127.0,0.00406948,-0.0935126
127.5,0.00362116,-0.0869863
128.0,0.00313633,-0.0823895
128.5,0.00281366,-0.0773408
129.0,0.00266569,-0.0735827
129.5,0.0024237,-0.0702938
130.0,0.00226463,-0.0673744
130.5,0.0020447,-0.0640548
131.0,0.0017934,-0.0617148
131.5,0.00166119,-0.0590744
132.0,0.00158992,-0.0571108
132.5,0.0015285,-0.0547248
133.0,0.00135528,-0.0528706
133.5,0.00124201,-0.05161
134.0,0.0012669,-0.0496459
134.5,0.00125198,-0.0481627
135.0,0.00126764,-0.0468166
135.5,0.00114892,-0.0454114
136.0,0.0010532,-0.0440939
136.5,0.000993158,-0.0431215
137.0,0.000957218,-0.0420763
137.5,0.000914886,-0.0411053
138.0,0.000891788,-0.0400999
138.5,0.000825988,-0.0391138
139.0,0.000830306,-0.0381947
139.5,0.000779854,-0.0373486
140.0,0.000724629,-0.0365886
140.5,0.000694221,-0.0358494
141.0,0.000653346,-0.0352031
141.5,0.000626902,-0.0345224
142.0,0.000632094,-0.0338748
142.5,0.00064824,-0.0331939
143.0,0.00061293,-0.0325834
143.5,0.000583295,-0.0320916
144.0,0.000586042,-0.0314938
144.5,0.000562684,-0.0309179
145.0,0.000542686,-0.0304506
145.5,0.000520294,-0.0299922
146.0,0.000512143,-0.0294555
146.5,0.000497746,-0.0289418
147.0,0.000516197,-0.0285495
147.5,0.000504467,-0.0281374
148.0,0.000492003,-0.027771
148.5,0.000481734,-0.0273322
149.0,0.000480965,-0.026959
149.5,0.000471884,-0.0266153
150.0,0.000461529,-0.0262586
150.5,0.000431315,-0.025955
151.0,0.000434929,-0.0255906
151.5,0.00041944,-0.0252465
152.0,0.000439583,-0.0249411
152.5,0.000420233,-0.0246346
153.0,0.000391518,-0.0243483
153.5,0.000384587,-0.0240614
154.0,0.000406347,-0.0237553
154.5,0.000403763,-0.0235258
155.0,0.000385641,-0.0231536
155.5,0.000388666,-0.0229756
156.0,0.00039808,-0.0226957
156.5,0.000399076,-0.0225045
157.0,0.0003943,-0.0222402
157.5,0.000380195,-0.0220189
158.0,0.000366106,-0.0217339
158.5,0.000361297,-0.0215799
159.0,0.000346252,-0.0213516
159.5,0.000351341,-0.0211328
160.0,0.000362542,-0.0209698
160.5,0.000360313,-0.0207301
161.0,0.000361251,-0.0205061
161.5,0.00035182,-0.0203248
162.0,0.000356724,-0.0201197
162.5,0.000365859,-0.0199091
163.0,0.000357287,-0.0197581
163.5,0.000336645,-0.0195982
164.0,0.000353666,-0.0193901
164.5,0.000385242,-0.0192057
165.0,0.000351837,-0.0190561
165.5,0.000338457,-0.0188945
166.0,0.00033616,-0.0187566
166.5,0.000345951,-0.0185919
167.0,0.000349472,-0.018417
167.5,0.000341815,-0.0182593
168.0,0.000348287,-0.0181244
168.5,0.000326458,-0.0179903
169.0,0.000326783,-0.0178709
169.5,0.000328138,-0.0176952
170.0,0.00033049,-0.017574
170.5,0.00031877,-0.0174318
171.0,0.000335253,-0.0173034
171.5,0.00036799,-0.0171648
172.0,0.000374543,-0.0170221
172.5,0.000353804,-0.0169022
173.0,0.000334903,-0.0167938
173.5,0.000347573,-0.0166878
174.0,0.000364859,-0.0165687
174.5,0.000344772,-0.0164545
175.0,0.000342754,-0.0163369
175.5,0.000346542,-0.0162067
176.0,0.000356763,-0.0161038
176.5,0.000335872,-0.0159969
177.0,0.000329918,-0.0158824
177.5,0.000357503,-0.0157766
178.0,0.000363572,-0.0156666
178.5,0.000375373,-0.0155803
179.0,0.000365797,-0.0154789
179.5,0.000369526,-0.0153829
180.0,0.0003674,-0.0152847
180.5,0.000372341,-0.0152086
181.0,0.000372372,-0.0151131
181.5,0.000368344,-0.0150137
182.0,0.000380107,-0.0149179
182.5,0.000373904,-0.0148374
183.0,0.000372978,-0.0147645
183.5,0.000365487,-0.0146539
184.0,0.000354551,-0.014559
184.5,0.000361332,-0.0144775
185.0,0.000371351,-0.0144179
185.5,0.000355655,-0.0143205
186.0,0.000366705,-0.0142538
186.5,0.000366582,-0.0141713
187.0,0.000364733,-0.0140774
187.5,0.000364061,-0.0140098
188.0,0.000355634,-0.0139509
188.5,0.000354195,-0.0138678
189.0,0.000349473,-0.0137956
189.5,0.000345081,-0.0137316
190.0,0.000347983,-0.0136512
190.5,0.00034288,-0.0135643
191.0,0.000340875,-0.0135022
191.5,0.00034199,-0.0134389
192.0,0.000327944,-0.0133656
192.5,0.000331615,-0.0133058
193.0,0.000332152,-0.0132413
193.5,0.000321303,-0.0131505
194.0,0.000315174,-0.0131034
194.5,0.000317525,-0.0130372
195.0,0.000314835,-0.0129764
195.5,0.000303363,-0.0129172
196.0,0.000289555,-0.0128288
196.5,0.000286556,-0.0127763
197.0,0.000287005,-0.0127154
197.5,0.000278991,-0.0126536
198.0,0.000283553,-0.0125952
198.5,0.000278463,-0.0125279
199.0,0.000275841,-0.0124771
199.5,0.000270861,-0.0124172
200.0,0.000269888,-0.0123479
200.5,0.000260704,-0.0122967
201.0,0.000253367,-0.0122404
201.5,0.000251771,-0.0121862
202.0,0.000246593,-0.012113
202.5,0.000235295,-0.0120623
203.0,0.000230223,-0.0120049
203.5,0.000230171,-0.0119513
204.0,0.000225559,-0.0118856
204.5,0.000224367,-0.0118348
205.0,0.000220578,-0.0117832
