% Model,beam.mph
% Version,COMSOL 6.1.0.282
% Date,"Mar 20 2023, 10:13"
% Table,Evaluation Group 1 - 
% freq (Hz),"Displacement magnitude (cm), Point: 6"
1,1262.711860972426
2,315.5527727147919
3,140.93038557571953
4,79.21036503257359
5,50.64271563564441
6,35.12442243018564
7,25.759524340085054
8,19.688161244126483
9,15.525589232660867
10,12.548052850949542
11,10.344942596081905
12,8.669224189577456
13,7.36504817912502
14,6.3301504101533554
15,5.495171852343489
16,4.811726755976326
17,4.245226870278903
18,3.7704160905873785
19,3.3685045398386486
20,3.0252785332416354
21,2.729826104421844
22,2.4736571729270334
23,2.250086162712686
24,2.053790481874769
25,1.8804901594270913
26,1.7267120210418307
27,1.5896137987236751
28,1.466851379352398
29,1.3564775918947896
30,1.2568640943238378
31,1.1666408055996629
32,1.0846480762900024
33,1.0098991649998728
34,0.9415500638295944
35,0.8788754480306474
36,0.8212491324161886
37,0.768128210566586
38,0.7190400524372723
39,0.6735716589620282
40,0.6313607982980527
41,0.5920886393170643
42,0.5554736404170735
43,0.5212663740552537
44,0.4892452038441663
45,0.4592125640986832
46,0.4309918806460223
47,0.40442488082323713
48,0.3793693119724359
49,0.35569697270242906
50,0.3332920383128911
51,0.3120495769416708
52,0.29187429191572767
53,0.27267940711291794
54,0.25438570563429297
55,0.23692067023033317
56,0.2202177527773351
57,0.20421570246706047
58,0.1888579884811943
59,0.17409227724805768
60,0.15986997444384796
61,0.14614580485385953
62,0.1328774413940218
63,0.12002516425969083
64,0.10755155632301719
65,0.09542121252534921
66,0.08360049030033681
67,0.07205726022264447
68,0.06076068761361578
69,0.04968102552126187
70,0.03878945165329245
71,0.028057983190685885
72,0.01745989328350195
73,0.006975504406908984
74,0.003510264071141731
75,0.0138504092480868
76,0.024197778168824197
77,0.03455636461308579
78,0.0449539809116959
79,0.05542107309362943
80,0.06598989518339567
81,0.0766946573386643
82,0.08757187284335327
83,0.09866079490216033
84,0.11000394770500883
85,0.12164774722188514
86,0.13364324083320736
87,0.14604697895982596
88,0.15892208072644334
89,0.1723394904299433
90,0.18637954265245735
91,0.20113385410397
92,0.21670769653107788
93,0.23322292702721908
94,0.2508217185903231
95,0.26967128705147936
96,0.28996998480254677
97,0.31195524760273524
98,0.3359140490620786
99,0.36219690524935455
100,0.39123685324795104
101,0.4235756621847003
102,0.4599006539279351
103,0.5010975445975503
104,0.5483280955332899
105,0.6031472618112164
106,0.667685483352737
107,0.7449427689898827
108,0.8392834823889732
109,0.9573124359156687
110,1.1095252470820038
111,1.313669734374743
112,1.602319662245906
113,2.0424456708334806
114,2.797107637395239
115,4.394195926473697
116,10.042016995834217
117,37.51990154612865
118,6.609249200841714
119,3.6426043690924352
120,2.522227652839589
121,1.933209617731661
122,1.569735658793558
123,1.3229018153792729
124,1.1442031452045653
125,1.0087599364919564
126,0.9024949798933128
127,0.8168445709826851
128,0.746299824927781
129,0.6871559779761302
130,0.6368296457842618
131,0.593464321584914
132,0.5556914780323402
133,0.522480071069621
134,0.4930385231993924
135,0.4667489708290634
136,0.44312207464810227
137,0.42176522205889955
138,0.40235973909320255
139,0.38464424547067233
140,0.36840232286973384
141,0.35345322710031807
142,0.33964482205798147
143,0.3268481224068433
144,0.31495304520043677
145,0.30386505931673735
146,0.29350252801616744
147,0.28379457789562595
148,0.2746793728967816
149,0.26610271718400413
150,0.2580169049876132
151,0.25037977312764553
152,0.2431539167367101
153,0.23630603192242736
154,0.22980636771038568
155,0.22362826064981559
156,0.21774774355820065
157,0.2121432104708081
158,0.20679513066349217
159,0.20168580510404197
160,0.19679915342794124
161,0.19212053342700358
162,0.18763658160652666
163,0.18333507561030948
164,0.17920481392510126
165,0.17523551127851308
166,0.17141770496682918
167,0.16774267432721057
168,0.16420236826281245
169,0.16078934172264492
170,0.15749669908374775
171,0.1543180440982557
172,0.15124743465243312
173,0.1482793430198847
174,0.14540861984536635
175,0.14263046183677922
176,0.13994038289508495
177,0.1373341881783543
178,0.1348079505071441
179,0.13235798896310996
180,0.12998084951343386
181,0.12767328810427225
182,0.12543225396242672
183,0.12325487607477503
184,0.12113844920479391
185,0.1190804223217624
186,0.11707838756869801
187,0.11513007020758322
188,0.11323331940011623
189,0.1113860994598896
190,0.10958648290924576
191,0.10783264236434009
192,0.10612284469683092
193,0.10445544461277254
194,0.10282887910954583
195,0.10124166248097893
196,0.09969238126122508
197,0.09817969010378608
198,0.0967023073683794
199,0.09525901156399508
200,0.09384863776747082
201,0.09247007421439299
202,0.09112225939394945
203,0.08980417899695455
204,0.08851486367038167
205,0.0872533860540731
206,0.08601885874857447
207,0.08481043208931575
208,0.08362729220323808
209,0.08246865904208851
210,0.08133378459540465
211,0.08022195122718487
212,0.07913247025395456
213,0.07806468034634079
214,0.07701794624909812
215,0.07599165735365984
216,0.07498522665032886
217,0.073998089485801
218,0.0730297025441443
219,0.07207954283864501
220,0.07114710665427992
221,0.07023190875684183
222,0.06933348156119833
223,0.06845137419105034
224,0.06758515186885161
225,0.06673439510969331
226,0.06589869906468648
227,0.06507767290103725
228,0.06427093912287751
229,0.06347813313285972
230,0.06269890252030695
231,0.06193290666492371
232,0.06117981615723514
233,0.060439312392953186
234,0.0597110871522857
235,0.05899484203669895
236,0.05829028824807689
237,0.05759714607514266
238,0.056915144644063324
239,0.056244021403347645
240,0.05558352199325715
241,0.0549333997804669
242,0.054293415628784696
243,0.05366333758162746
244,0.05304294064100677
245,0.05243200646191732
246,0.0518303230964184
247,0.05123768480445744
248,0.050653891760904006
249,0.0500787498901751
250,0.04951207066638837
251,0.0489536708829735
252,0.04840337244270348
253,0.04786100225569483
254,0.04732639197710154
255,0.04679937791254977
256,0.04627980081609205
257,0.04576750571317968
258,0.04526234185361865
259,0.044764162455781166
260,0.04427282463908817
261,0.043788189285084614
262,0.04331012088025808
263,0.04283848747282723
264,0.042373160436244624
265,0.04191401450467997
266,0.04146092752844714
267,0.04101378048199958
268,0.04057245730411488
269,0.04013684479944833
270,0.03970683262007507
271,0.039282313086531837
272,0.03886318114107395
273,0.03844933430461935
274,0.038040672539161276
275,0.03763709820186437
276,0.037238515978557436
277,0.036844832791673776
278,0.036455957764386863
279,0.03607180212696541
280,0.03569227915996052
281,0.035317304155499024
282,0.03494679433420335
283,0.034580668805133795
284,0.03421884849218275
285,0.03386125612248666
286,0.03350781610888864
287,0.0331584545953967
288,0.0328130993049836
289,0.0324716795798175
290,0.03213412628696838
291,0.031800371809727807
292,0.03147034999026172
293,0.031143996078437257
294,0.03082124672277497
295,0.030502039919109113
296,0.030186314975219092
297,0.02987401249506467
298,0.02956507432161959
299,0.02925944353686068
300,0.028957064400519254
301,0.028657882385085
302,0.028361844091636116
303,0.028068897264912615
304,0.027778990794549253
305,0.027492074680033375
306,0.027208100058061166
307,0.026927019206601507
308,0.026648785608481603
309,0.02637335397662417
310,0.02610068040683284
311,0.025830722523169196
312,0.02556343980741172
313,0.02529879410116933
