freq,velocity,force
89.5,-7.76901e-05,-0.0126291
90.0,-6.16802e-05,-0.0126529
90.5,-6.87297e-05,-0.0126822
91.0,-7.49881e-05,-0.0126631
91.5,-6.06515e-05,-0.0126878
92.0,-6.6729e-05,-0.0127272
92.5,-9.00816e-05,-0.0127746
93.0,-9.15081e-05,-0.0127868
93.5,-6.85261e-05,-0.0127674
94.0,-7.78732e-05,-0.0128027
94.5,-9.08355e-05,-0.0128378
95.0,-8.17949e-05,-0.0129144
95.5,-8.22866e-05,-0.0129795
96.0,-9.61659e-05,-0.0130262
96.5,-0.000106337,-0.0130523
97.0,-0.000126972,-0.013088
97.5,-0.000148083,-0.0131777
98.0,-0.000149719,-0.0132135
98.5,-0.000130168,-0.0132779
99.0,-9.89994e-05,-0.0134102
99.5,-0.00010619,-0.013499
100.0,-8.55063e-05,-0.0135319
100.5,-7.16443e-05,-0.0136583
101.0,-9.78137e-05,-0.0137614
101.5,-0.000148028,-0.0138572
102.0,-0.000186056,-0.0140071
102.5,-0.000173399,-0.0141282
103.0,-0.000135206,-0.0142308
103.5,-0.000158865,-0.0143717
104.0,-0.000192792,-0.0145524
104.5,-0.000202298,-0.0146869
105.0,-0.000219389,-0.0149148
105.5,-0.000197423,-0.0151638
106.0,-0.000220586,-0.0153419
106.5,-0.000205963,-0.0155193
107.0,-0.000160749,-0.0157603
107.5,-0.000260786,-0.0161179
108.0,-0.000308866,-0.0163908
108.5,-0.000285659,-0.0166586
109.0,-0.000299239,-0.017146
109.5,-0.000308164,-0.0174317
110.0,-0.000382761,-0.0177263
110.5,-0.000399347,-0.0182919
111.0,-0.000407475,-0.0188791
111.5,-0.000449718,-0.0194045
112.0,-0.000520968,-0.0199918
112.5,-0.000524886,-0.0205396
113.0,-0.000653996,-0.0215028
113.5,-0.000763682,-0.0223985
114.0,-0.000838668,-0.0235318
114.5,-0.000867887,-0.0246638
115.0,-0.00108741,-0.0260954
115.5,-0.00132292,-0.0279651
116.0,-0.00149618,-0.0296601
116.5,-0.00183501,-0.0320301
117.0,-0.00228862,-0.0350714
117.5,-0.00264312,-0.038487
118.0,-0.00377195,-0.0433649
118.5,-0.0054568,-0.0503183
119.0,-0.00814559,-0.0620119
119.5,-0.0149201,-0.0746603
120.0,-0.0224518,-0.0885759
120.5,-0.0661841,-0.14394
121.0,-0.193155,-0.0696261
121.5,-0.105109,0.125659
122.0,-0.0277305,0.0919851
122.5,-0.0131293,0.0687094
123.0,-0.00926064,0.0536955
123.5,-0.00549964,0.0407908
124.0,-0.00390664,0.0333768
124.5,-0.00269139,0.0276524
125.0,-0.00211669,0.0234235
125.5,-0.00147909,0.0196267
126.0,-0.00121947,0.0169189
126.5,-0.000945326,0.0150934
127.0,-0.000707635,0.0133135
127.5,-0.00062949,0.0117278
128.0,-0.000561509,0.0107467
128.5,-0.000421926,0.00933722
129.0,-0.000370136,0.00835921
129.5,-0.000339339,0.00762959
130.0,-0.000305853,0.00681821
130.5,-0.000231697,0.00605519
131.0,-0.000197024,0.00554353
131.5,-0.000146729,0.00497675
132.0,-0.00013571,0.00452228
132.5,-0.000136778,0.00403916
133.0,-0.000120685,0.0035949
133.5,-0.000107651,0.0032759
134.0,-0.00010063,0.00289029
134.5,-7.67088e-05,0.00257274
135.0,-7.1871e-05,0.00230796
135.5,-7.29061e-05,0.00202844
136.0,-5.26175e-05,0.00173727
136.5,-4.53761e-05,0.00157327
137.0,-4.44264e-05,0.0013302
137.5,-3.99515e-05,0.0010768
138.0,-4.07745e-05,0.000923766
138.5,-3.7595e-05,0.000759595
139.0,-4.15557e-05,0.000579668
139.5,-2.98726e-05,0.000395447
140.0,-2.39509e-05,0.000278413
140.5,-1.97374e-05,0.000127128
141.0,-2.19144e-05,1.46994e-07
141.5,-2.37911e-05,-0.000116472
142.0,-1.93367e-05,-0.000241055
