freq,velocity,force
90.0,7.92232e-05,0.00724157
90.5,8.49089e-05,0.00770021
91.0,8.64749e-05,0.008069
91.5,8.24046e-05,0.00842717
92.0,9.49382e-05,0.00878244
92.5,0.000101086,0.00935664
93.0,0.000116517,0.00979064
93.5,0.000123121,0.010119
94.0,0.000144032,0.0106317
94.5,0.000127163,0.0111465
95.0,0.000120438,0.0116786
95.5,0.000154274,0.0120556
96.0,0.000125798,0.0128238
96.5,0.000102333,0.0132079
97.0,0.000171709,0.0139411
97.5,0.000155061,0.0144412
98.0,0.000152893,0.0150282
98.5,0.000167789,0.0156158
99.0,0.000168629,0.0163102
99.5,0.000190516,0.0171304
100.0,0.000170454,0.0176474
100.5,0.000183884,0.0189148
101.0,0.000246215,0.0193751
101.5,0.000278008,0.0202408
102.0,0.000338246,0.0213313
102.5,0.000317701,0.0220561
103.0,0.000313662,0.0229287
103.5,0.000331097,0.024418
104.0,0.000355061,0.0252757
104.5,0.000451275,0.0266356
105.0,0.000532324,0.0275822
105.5,0.000588327,0.0292401
106.0,0.00058877,0.0304237
106.5,0.000631744,0.0320479
107.0,0.000609869,0.0337504
107.5,0.000649919,0.0353133
108.0,0.000715181,0.0371791
108.5,0.000725835,0.039005
109.0,0.000904576,0.04152
109.5,0.000941961,0.0440536
110.0,0.00136917,0.0472686
110.5,0.00146024,0.0494269
111.0,0.00155236,0.0534417
111.5,0.00141188,0.056732
112.0,0.00162523,0.0605855
112.5,0.00194253,0.0667384
113.0,0.00237464,0.0711702
113.5,0.00287729,0.0768472
114.0,0.00347966,0.0822758
114.5,0.00464683,0.0934383
115.0,0.00587097,0.103381
115.5,0.00765101,0.114511
116.0,0.00943862,0.128295
116.5,0.0126626,0.147273
117.0,0.0160583,0.175242
117.5,0.0210694,0.202637
118.0,0.0345931,0.249042
118.5,0.0748192,0.346946
119.0,0.119918,0.423777
119.5,0.262243,0.535265
120.0,0.801553,0.0904499
120.5,0.485047,-0.691941
121.0,0.231544,-0.534504
121.5,0.0867207,-0.359595
122.0,0.0492305,-0.284406
122.5,0.0358068,-0.255436
123.0,0.0197106,-0.20303
123.5,0.0141697,-0.170256
124.0,0.0109612,-0.155299
124.5,0.00799759,-0.137858
125.0,0.00761716,-0.124295
125.5,0.00751982,-0.114554
126.0,0.00580642,-0.107145
126.5,0.00379911,-0.0963727
127.0,0.00422479,-0.0902125
127.5,0.00342325,-0.0848659
128.0,0.00315259,-0.0802149
128.5,0.00285036,-0.0769671
129.0,0.00224958,-0.0721455
129.5,0.00206598,-0.0682061
130.0,0.00169251,-0.0658239
130.5,0.00199516,-0.062411
131.0,0.00237472,-0.0601743
131.5,0.00190422,-0.058354
132.0,0.00140732,-0.0557179
132.5,0.00119706,-0.0532564
133.0,0.0011686,-0.0518751
133.5,0.00120814,-0.0505301
134.0,0.00123764,-0.0486103
134.5,0.00134048,-0.0469737
135.0,0.00125222,-0.0458713
135.5,0.00117439,-0.0447295
136.0,0.000996825,-0.0434564
136.5,0.000954406,-0.0425447
137.0,0.00107769,-0.0412869
137.5,0.00100401,-0.0399668
138.0,0.000765359,-0.039224
138.5,0.000831022,-0.0386091
139.0,0.00094079,-0.0375044
139.5,0.00087098,-0.0368686
140.0,0.000829421,-0.0359789
140.5,0.000819293,-0.0354593
141.0,0.000723405,-0.0344824
141.5,0.00074816,-0.033983
142.0,0.000727504,-0.0332796
142.5,0.000625671,-0.0327668
143.0,0.000557412,-0.0320308
143.5,0.000637121,-0.0314787
144.0,0.000629758,-0.0310731
144.5,0.000550356,-0.0307036
145.0,0.000529156,-0.0300344
145.5,0.000565529,-0.0295074
146.0,0.000547827,-0.0290629
146.5,0.000545949,-0.028679
147.0,0.000547744,-0.0282128
147.5,0.000525685,-0.0278954
148.0,0.000452265,-0.0274121
148.5,0.000436543,-0.0270199
149.0,0.000472304,-0.0266417
149.5,0.000469257,-0.0262892
150.0,0.000484676,-0.0259202
150.5,0.000479647,-0.0255525
151.0,0.000524321,-0.0252258
151.5,0.000548831,-0.0248392
152.0,0.000529066,-0.0245505
152.5,0.000532438,-0.0243664
153.0,0.000475036,-0.0241293
153.5,0.000443806,-0.0236996
154.0,0.000486015,-0.023505
154.5,0.000502063,-0.0233065
155.0,0.000502316,-0.0230032
155.5,0.00050483,-0.0227799
156.0,0.000484102,-0.0224309
156.5,0.000480858,-0.0221208
157.0,0.000471331,-0.0219354
157.5,0.000449419,-0.0217195
158.0,0.000454558,-0.0215136
158.5,0.000425915,-0.0212804
159.0,0.000424008,-0.0210293
159.5,0.000483611,-0.020896
160.0,0.000480812,-0.0206799
160.5,0.000403512,-0.0204441
161.0,0.000423889,-0.0202476
161.5,0.000398278,-0.0201116
162.0,0.00041593,-0.0199222
162.5,0.000440943,-0.0197498
163.0,0.000439567,-0.0195618
163.5,0.000443223,-0.01946
164.0,0.000410412,-0.0192466
164.5,0.000402431,-0.0190165
165.0,0.000464891,-0.0188718
165.5,0.000478736,-0.018753
166.0,0.000454822,-0.0185526
166.5,0.00045464,-0.0183444
167.0,0.000471336,-0.0182664
167.5,0.000432514,-0.0181103
168.0,0.000403351,-0.0179876
168.5,0.000453979,-0.0178665
169.0,0.000509717,-0.0177001
169.5,0.000518376,-0.0175655
170.0,0.000506185,-0.017425
170.5,0.000514039,-0.0173506
171.0,0.000533112,-0.0171614
171.5,0.000509028,-0.0170445
172.0,0.000490552,-0.0169134
172.5,0.000513411,-0.016789
173.0,0.000548082,-0.0166857
173.5,0.000550668,-0.0165653
174.0,0.000552203,-0.016464
174.5,0.000544105,-0.016374
175.0,0.000541015,-0.0162718
175.5,0.00059811,-0.0161049
176.0,0.000586844,-0.016008
176.5,0.000591741,-0.0159677
177.0,0.000582499,-0.0158851
177.5,0.000581142,-0.0157424
178.0,0.000578932,-0.0156352
178.5,0.000583964,-0.0155814
179.0,0.000603842,-0.0155024
179.5,0.000589925,-0.0153594
180.0,0.000607589,-0.0152844
180.5,0.000624118,-0.0151938
181.0,0.000619043,-0.0150965
181.5,0.00060626,-0.0150355
182.0,0.000596164,-0.0149787
182.5,0.000611046,-0.0149022
183.0,0.000604883,-0.0147848
183.5,0.000609036,-0.0147353
184.0,0.000617648,-0.0146903
184.5,0.000582526,-0.0145822
185.0,0.000587512,-0.0144821
185.5,0.000605302,-0.0144378
186.0,0.000607302,-0.0144023
186.5,0.000594165,-0.0143254
187.0,0.000590416,-0.0142475
187.5,0.000609532,-0.0141632
188.0,0.000610825,-0.0141034
188.5,0.000596546,-0.0140581
189.0,0.000561834,-0.0139883
189.5,0.000565808,-0.0138972
190.0,0.000562575,-0.0138454
190.5,0.00053514,-0.0138115
191.0,0.000525487,-0.0137623
191.5,0.00050523,-0.0136577
192.0,0.000495566,-0.0136013
192.5,0.000496512,-0.0135819
193.0,0.000448185,-0.0135244
193.5,0.000455477,-0.0134486
194.0,0.000475191,-0.0134164
194.5,0.000417293,-0.0133249
195.0,0.000441998,-0.0132551
195.5,0.000438919,-0.013184
196.0,0.000394828,-0.0131164
196.5,0.000385001,-0.0130631
197.0,0.000361887,-0.0130219
197.5,0.000321819,-0.0129627
198.0,0.00030128,-0.0129035
198.5,0.000279972,-0.0128705
199.0,0.000289994,-0.0127909
199.5,0.000278025,-0.0127394
200.0,0.000247735,-0.012678
200.5,0.000242978,-0.0126213
201.0,0.000245642,-0.0125438
201.5,0.000207805,-0.0124677
202.0,0.000161265,-0.0124438
202.5,0.000150419,-0.0123837
203.0,0.00013701,-0.0123165
203.5,0.000107897,-0.0122453
204.0,9.72942e-05,-0.0121854
204.5,4.79554e-05,-0.0121229
205.0,5.1439e-05,-0.0120757
205.5,4.72577e-05,-0.0119944
206.0,1.69282e-05,-0.0119352
206.5,6.10356e-06,-0.0118523
207.0,2.60599e-06,-0.0118121
207.5,5.04055e-06,-0.0117375
208.0,-5.69548e-06,-0.0116752
208.5,-2.79677e-05,-0.0116091
209.0,-4.5399e-05,-0.0115268
209.5,-5.59764e-05,-0.0114838
210.0,-7.27659e-05,-0.0114487
210.5,-6.91473e-05,-0.0113809
211.0,-6.98196e-05,-0.0112836
211.5,-5.98173e-05,-0.0112556
212.0,-4.3863e-05,-0.0111801
212.5,-4.32273e-05,-0.0110901
213.0,-7.83469e-05,-0.011024
213.5,-9.55878e-05,-0.0109851
214.0,-0.000100531,-0.010955
214.5,-9.70032e-05,-0.0108913
215.0,-8.79638e-05,-0.0108389
215.5,-8.28165e-05,-0.0107578
216.0,-8.67358e-05,-0.0107175
216.5,-7.54292e-05,-0.0106811
217.0,-5.95198e-05,-0.01062
217.5,-7.91506e-05,-0.0105384
218.0,-7.88524e-05,-0.0104988
218.5,-7.63361e-05,-0.0104623
219.0,-8.88205e-05,-0.0103869
219.5,-7.86811e-05,-0.0103486
220.0,-6.70743e-05,-0.0103371
220.5,-6.6892e-05,-0.0102834
221.0,-5.04457e-05,-0.010233
221.5,-4.595e-05,-0.010146
222.0,-4.20071e-05,-0.0101264
222.5,-3.26143e-05,-0.0100905
223.0,-4.59103e-05,-0.0100412
223.5,-4.21913e-05,-0.0099879
224.0,-4.8829e-05,-0.00995819
224.5,-3.55104e-05,-0.00991327
225.0,-3.41857e-05,-0.00986554
225.5,-4.01485e-05,-0.00981722
226.0,-3.75478e-05,-0.00979244
226.5,-5.19423e-05,-0.00974865
227.0,-4.96541e-05,-0.00971393
227.5,-4.2268e-05,-0.00965544
228.0,-5.14456e-05,-0.00961562
228.5,-5.92188e-05,-0.00960004
229.0,-4.61284e-05,-0.00956336
229.5,-6.78171e-05,-0.0095259
230.0,-3.5625e-05,-0.00947087
230.5,-3.44685e-05,-0.00943544
231.0,-2.85776e-05,-0.00940712
231.5,-3.23185e-05,-0.00938515
232.0,-3.47892e-05,-0.0093468
232.5,-4.1523e-05,-0.00928435
233.0,-4.13495e-05,-0.00924337
233.5,-4.41242e-05,-0.00921901
234.0,-4.92431e-05,-0.00919493
234.5,-5.38067e-05,-0.00916027
235.0,-5.18024e-05,-0.0091143
235.5,-6.3696e-05,-0.00907804
236.0,-6.33862e-05,-0.00904585
236.5,-7.06546e-05,-0.00901633
237.0,-6.34206e-05,-0.00900087
237.5,-7.63622e-05,-0.00890633
238.0,-6.17482e-05,-0.00888713
238.5,-5.92639e-05,-0.00885097
239.0,-8.30389e-05,-0.00880901
239.5,-8.59506e-05,-0.00879064
240.0,-8.83822e-05,-0.00874866
240.5,-8.41657e-05,-0.00871854
241.0,-8.30333e-05,-0.00867799
241.5,-7.51621e-05,-0.00863293
242.0,-8.36479e-05,-0.0086153
242.5,-7.48336e-05,-0.0085803
243.0,-8.97527e-05,-0.00852893
243.5,-0.000100373,-0.00850831
244.0,-0.00010604,-0.0084783
244.5,-9.1627e-05,-0.0084317
245.0,-7.79061e-05,-0.0083797
245.5,-7.70801e-05,-0.00832664
246.0,-8.49643e-05,-0.00831489
246.5,-9.6996e-05,-0.00829375
247.0,-0.000104503,-0.00825086
247.5,-0.000106106,-0.00820321
248.0,-0.000102201,-0.00816631
248.5,-7.60144e-05,-0.00813681
249.0,-7.84399e-05,-0.00810288
249.5,-9.81843e-05,-0.0080681
250.0,-9.66622e-05,-0.00804203
250.5,-8.62321e-05,-0.00798951
251.0,-7.05933e-05,-0.00795776
251.5,-6.82485e-05,-0.0079281
252.0,-6.1482e-05,-0.00790161
252.5,-6.31417e-05,-0.0078681
253.0,-6.41543e-05,-0.00784544
253.5,-5.50452e-05,-0.007807
254.0,-4.85654e-05,-0.00776532
254.5,-3.45733e-05,-0.00773717
255.0,-3.13305e-05,-0.00771523
255.5,-2.85044e-05,-0.00767961
256.0,-3.54212e-05,-0.00762995
256.5,-4.01638e-05,-0.00759946
257.0,-2.22672e-05,-0.007588
257.5,-9.11199e-06,-0.00756942
258.0,-1.02782e-05,-0.00753417
258.5,1.97829e-06,-0.00750501
259.0,1.17262e-05,-0.00748888
259.5,1.8285e-05,-0.00746601
260.0,2.16082e-05,-0.00745226
260.5,3.91999e-05,-0.00744413
261.0,2.48103e-05,-0.00743669
261.5,-1.69102e-05,-0.00743321
262.0,-4.89412e-05,-0.00741331
262.5,-6.43558e-05,-0.00736404
263.0,-5.93882e-05,-0.00725511
263.5,-4.35386e-05,-0.00723215
264.0,-2.36038e-05,-0.00719901
264.5,-1.22893e-05,-0.00717605
265.0,-1.07275e-05,-0.00715761
265.5,-1.17253e-05,-0.00712385
266.0,-2.31422e-05,-0.0071044
266.5,3.8574e-06,-0.007068
267.0,2.28011e-05,-0.00705411
267.5,2.61861e-05,-0.00703746
268.0,2.60782e-05,-0.00701088
268.5,3.29921e-05,-0.00698769
269.0,3.75201e-05,-0.00695474
269.5,3.97646e-05,-0.00692728
270.0,3.86685e-05,-0.0069025
270.5,4.10748e-05,-0.00688989
271.0,4.72999e-05,-0.00687295
271.5,5.02809e-05,-0.00685003
272.0,4.88735e-05,-0.00683601
272.5,5.2436e-05,-0.00680692
273.0,5.76342e-05,-0.00677086
273.5,6.72204e-05,-0.00673629
274.0,7.10009e-05,-0.00672894
274.5,6.95323e-05,-0.00672164
275.0,6.3434e-05,-0.00669662
275.5,6.73796e-05,-0.00666569
276.0,7.57094e-05,-0.00664142
276.5,8.26197e-05,-0.00661925
277.0,7.55567e-05,-0.00660488
277.5,6.64679e-05,-0.00658815
278.0,7.34197e-05,-0.00656501
278.5,9.20992e-05,-0.00654254
279.0,8.80976e-05,-0.00652261
279.5,8.08277e-05,-0.00650863
280.0,9.85728e-05,-0.00648068
280.5,9.6612e-05,-0.00644843
281.0,9.29154e-05,-0.00644237
281.5,8.67907e-05,-0.00642265
282.0,9.51965e-05,-0.00639554
282.5,9.36986e-05,-0.00638724
283.0,9.93171e-05,-0.00635646
283.5,0.000104744,-0.00634048
284.0,0.000111086,-0.00631986
284.5,0.000107041,-0.00629606
285.0,0.000101657,-0.00628631
285.5,0.000114313,-0.00624473
286.0,0.000120262,-0.00623325
286.5,0.00011554,-0.00621282
287.0,0.00011579,-0.00618496
287.5,0.000113883,-0.00617014
288.0,0.000108638,-0.00615256
288.5,0.000106069,-0.00612311
289.0,0.000112195,-0.00610415
289.5,0.000120546,-0.00607173
290.0,0.000111865,-0.00605672
290.5,0.000110707,-0.00605384
291.0,0.000100816,-0.00604197
